t_s,trajectory,pose_x,pose_y,yaw_deg,path_idx,d,phi_deg,curv,v_cmd,omega_cmd,dist_end,ang_end_deg,done
0.00,left,0.0000,-0.1885,90.00,20,-0.0000,0.00,0.0000,0.2300,0.0000,0.7117,90.00,False
0.05,left,0.0000,-0.1770,90.01,22,-0.0015,0.00,0.0000,0.2300,0.0052,0.7028,90.00,False
0.10,left,-0.0000,-0.1655,90.03,25,-0.0020,0.01,0.0000,0.2300,0.0066,0.6939,89.99,False
0.15,left,-0.0000,-0.1540,90.03,27,0.0005,0.03,0.0000,0.2300,-0.0025,0.6852,89.97,False
0.20,left,-0.0000,-0.1425,90.01,29,0.0010,0.03,0.0000,0.2300,-0.0041,0.6764,89.97,False
0.25,left,-0.0000,-0.1310,89.99,31,0.0025,0.01,0.0000,0.2300,-0.0090,0.6678,89.99,False
0.30,left,-0.0000,-0.1195,89.98,34,0.0010,-0.01,0.0000,0.2300,-0.0032,0.6593,90.01,False
0.35,left,-0.0000,-0.1080,89.98,36,0.0005,-0.02,0.0000,0.2300,-0.0013,0.6509,90.02,False
0.40,left,-0.0000,-0.0965,89.96,38,0.0020,-0.02,0.0000,0.2300,-0.0064,0.6425,90.02,False
0.45,left,0.0000,-0.0850,89.95,41,0.0015,-0.04,0.0000,0.2300,-0.0042,0.6343,90.04,False
0.50,left,0.0000,-0.0735,89.95,43,-0.0000,-0.05,0.0000,0.2300,0.0012,0.6261,90.05,False
0.55,left,0.0000,-0.0620,89.97,45,-0.0015,-0.05,0.0000,0.2300,0.0063,0.6181,90.05,False
0.60,left,0.0000,-0.0505,89.99,48,-0.0020,-0.03,0.0000,0.2300,0.0077,0.6102,90.03,False
0.65,left,0.0000,-0.0390,90.00,50,-0.0005,-0.01,0.0000,0.2300,0.0020,0.6024,90.01,False
0.70,left,0.0000,-0.0275,90.01,52,-0.0010,-0.00,0.0000,0.2300,0.0036,0.5947,90.00,False
0.75,left,0.0000,-0.0160,90.03,54,-0.0025,0.01,0.0000,0.2300,0.0086,0.5871,89.99,False
0.80,left,0.0000,-0.0045,90.04,57,-0.0010,0.03,0.0000,0.2300,0.0028,0.5797,89.97,False
0.85,left,0.0000,0.0070,90.04,59,-0.0005,0.04,0.0000,0.2300,0.0009,0.5724,89.96,False
0.90,left,0.0000,0.0185,91.97,61,-0.0020,-1.18,2.8129,0.2300,0.6741,0.5652,89.96,False
0.95,left,-0.0004,0.0300,93.93,64,-0.0017,-1.68,2.8129,0.2300,0.6819,0.5582,88.03,False
1.00,left,-0.0012,0.0415,95.85,66,-0.0009,-1.34,2.8129,0.2300,0.6732,0.5510,86.07,False
1.05,left,-0.0023,0.0529,97.78,68,-0.0017,-1.04,2.8129,0.2300,0.6706,0.5437,84.15,False
1.10,left,-0.0039,0.0643,99.73,71,-0.0029,-1.55,2.8129,0.2300,0.6837,0.5362,82.22,False
1.15,left,-0.0058,0.0756,101.67,73,-0.0022,-1.21,2.8129,0.2300,0.6752,0.5285,80.27,False
1.20,left,-0.0082,0.0869,103.59,75,-0.0023,-0.90,2.8129,0.2300,0.6697,0.5207,78.33,False
1.25,left,-0.0109,0.0981,105.50,77,-0.0030,-0.60,2.8129,0.2300,0.6670,0.5128,76.41,False
1.30,left,-0.0139,0.1092,107.44,80,-0.0035,-1.12,2.8129,0.2300,0.6776,0.5047,74.50,False
1.35,left,-0.0174,0.1201,109.36,82,-0.0032,-0.80,2.8129,0.2300,0.6707,0.4965,72.56,False
1.40,left,-0.0212,0.1310,111.27,84,-0.0034,-0.50,2.8129,0.2300,0.6661,0.4881,70.64,False
1.45,left,-0.0254,0.1417,113.17,86,-0.0040,-0.22,2.8129,0.2300,0.6632,0.4796,68.73,False
1.50,left,-0.0299,0.1523,115.10,89,-0.0041,-0.75,2.8129,0.2300,0.6727,0.4709,66.83,False
1.55,left,-0.0348,0.1627,117.00,91,-0.0040,-0.45,2.8129,0.2300,0.6665,0.4622,64.90,False
1.60,left,-0.0400,0.1729,118.90,93,-0.0042,-0.16,2.8129,0.2300,0.6621,0.4533,63.00,False
1.65,left,-0.0456,0.1830,120.79,95,-0.0048,0.12,2.8129,0.2300,0.6592,0.4442,61.10,False
1.70,left,-0.0514,0.1929,122.70,98,-0.0047,-0.43,2.8129,0.2300,0.6681,0.4351,59.21,False
1.75,left,-0.0577,0.2026,124.60,100,-0.0046,-0.13,2.8129,0.2300,0.6623,0.4258,57.30,False
1.80,left,-0.0642,0.2120,126.49,102,-0.0048,0.14,2.8129,0.2300,0.6580,0.4164,55.40,False
1.85,left,-0.0710,0.2213,128.36,104,-0.0053,0.41,2.8129,0.2300,0.6550,0.4069,53.51,False
1.90,left,-0.0782,0.2303,130.26,107,-0.0051,-0.15,2.8129,0.2300,0.6637,0.3973,51.64,False
1.95,left,-0.0856,0.2391,132.15,109,-0.0050,0.13,2.8129,0.2300,0.6581,0.3876,49.74,False
2.00,left,-0.0933,0.2476,134.02,111,-0.0052,0.39,2.8129,0.2300,0.6539,0.3778,47.85,False
2.05,left,-0.1013,0.2559,135.89,113,-0.0056,0.64,2.8129,0.2300,0.6509,0.3678,45.98,False
2.10,left,-0.1096,0.2639,137.78,116,-0.0053,0.08,2.8129,0.2300,0.6595,0.3578,44.11,False
2.15,left,-0.1181,0.2716,139.65,118,-0.0052,0.34,2.8129,0.2300,0.6541,0.3477,42.22,False
2.20,left,-0.1268,0.2790,141.51,120,-0.0054,0.60,2.8129,0.2300,0.6500,0.3375,40.35,False
2.25,left,-0.1358,0.2862,143.37,122,-0.0058,0.84,2.8129,0.2300,0.6470,0.3272,38.49,False
2.30,left,-0.1451,0.2930,145.24,125,-0.0054,0.26,2.8129,0.2300,0.6555,0.3168,36.63,False
2.35,left,-0.1545,0.2996,147.11,127,-0.0053,0.51,2.8129,0.2300,0.6502,0.3063,34.76,False
2.40,left,-0.1642,0.3059,148.96,129,-0.0054,0.76,2.8129,0.2300,0.6463,0.2958,32.89,False
2.45,left,-0.1740,0.3118,150.80,131,-0.0058,0.99,2.8129,0.2300,0.6434,0.2852,31.04,False
2.50,left,-0.1841,0.3174,152.67,134,-0.0054,0.40,2.8129,0.2300,0.6519,0.2744,29.20,True
0.00,right,0.0000,-0.1085,90.00,36,-0.0000,0.00,0.0000,0.2300,0.0000,0.3279,88.10,False
0.05,right,0.0000,-0.0970,90.01,38,-0.0015,0.00,0.0000,0.2300,0.0052,0.3194,88.10,False
0.10,right,-0.0000,-0.0855,87.03,41,-0.0020,1.92,-4.4150,0.2300,-1.0420,0.3110,88.11,False
